 SWG ID,Date,Collector,Plot,Method,Locality,Coordinates,Order,Family,Genus,Species,M/F,Size,Notes,Field_collector,field_plant_sp,Determined by,Specimen ID status,Status notes,full_plant_sp,TRUE_SP,UT_ID,diversity_exclude,network_exclude,other_exclude,Morphospecies,Site,Plot,Taxon
SWG23_0040,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Coleoptera ,Cleridae,,,,,,E. Rivera,DRAM,,,,,,,,,,,,,
SWG23_0041,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Coleoptera ,Cleridae,,,,,,R. Kusumo,DRAM,,,,,,,,,,,,,
SWG23_0042,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Coleoptera ,Cleridae,,,,,,H. Afshar,DRAM,,,,,,,,,,,,,
SWG23_0043,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Coleoptera ,Dermestidae,,,,,,H. Afshar,CITE2,,,,,,,,,,,,,
SWG23_0044,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Coleoptera ,Cerambycidae,Tetreopes,texanus,,,,R. Kusumo,DRAM,,,,,,,,,,,,,
SWG23_0045,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Lepidoptera,Nymphalidae,Phyciodes,phaon,,,"Pinned, Mouse damage",R. Kusumo,DRAM,,,,,,,,,,,,,
SWG23_0046,2 VI 23,Jha Lab-UT,Waco Area 111,AM Netting,TX: McClennan Co; Waco,"31.545 N, 97.251 W",Lepidoptera,Nymphalidae,Junonia,coenia,,,"Pinned, Mouse damage",E. Rivera,DRAM,,,,,,,,,,,,,
SWG23_0047,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Hymenoptera,Apidae,Xylocopa,,,,,E. Rivera,CITE2,,,,,,,,,,,,,
SWG23_0048,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Hymenoptera,Apidae,Apis,melifera,,,,M. Caballero,PRGL,,,,,,,,,,,,,
SWG23_0049,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Diptera,Tephritidae,,,,,,M. Caballero,CITE2,,,,,,,,,,,,,
SWG23_0050,1 VI 23,Jha Lab-UT,Waco Area 12,AM Netting,TX: McClennan Co; Waco,"31.552 N, 97.24 W",Diptera,Bombyliidae,,,,,,M. Caballero,GAPU,,,,,,,,,,,,,
