ITIS_name,USDA_name,USDA_code,not_in_data,Lifespan,Nativity,Seeded/Adventive,Flower Color
Oenothera berlandieri ssp. pinifolia,Calylophus berlandieri ssp. pinifolius,CABEP2,F,Perennial,N,Adventive,Yellow
Castilleja indivisa,Castilleja indivisa,CAIN13,F,Annual,N,Adventive,"White, Red, Orange, Yellow, Green"
Callirhoe involucrata,Callirhoe involucrata,CAIN2,F,Perennial,N,Adventive,"White, Pink, Purple"
Camelina microcarpa,Camelina microcarpa,CAMI2,F,Annual,I,Adventive,Yellow
Castilleja purpurea,Castilleja purpurea,CAPU11,F,Perennial,N,Adventive,"Red, Pink, Orange, Yellow, Purple"
Plectocephalus americanus,Centaurea americana,CEAM2,F,Annual,N,Seeded,"White, Pink, Purple"
Centaurea americana,Centaurea americana,CEAM2,,Annual,N,Seeded,"White, Pink, Purple"
Cephalanthus occidentalis,Cephalanthus occidentalis,CEOC2,F,Perennial,N,Adventive,"White, Pink"
Cerastium spp.,Cerastium spp.,CERAS,F,NA,NA,Adventive,NA
Centaurium texense,Centaurium texense,CETE2,F,Annual,N,Adventive,"Pink, Purple"
Chamaesaracha spp.,Chamaesaracha spp.,CHAMA8,F,NA,NA,Adventive,NA
Chamaecrista fasciculata,Chamaecrista fasciculata,CHFA2,F,Annual,N,Seeded,Yellow
Euphorbia nutans,Chamaesyce nutans,CHNU9,F,Annual,N,Adventive,"White, Red, Green"
Bradburia pilosa,Chrysopsis pilosa,CHPI8,F,Annual,N,Adventive,Yellow
Chrysopsis pilosa,Chrysopsis pilosa,CHPI8,,Annual,N,Adventive,Yellow
Chloracantha spinosa,Chloracantha spinosa,CHSP11,T,Perennial,N,Adventive,White
Chaerophyllum tainturieri,Chaerophyllum tainturieri,CHTA,F,Annual,N,Adventive,White
Cichorium intybus,Cichorium intybus,CIIN,F,Perennial,I,Adventive,Purple
Cirsium spp.,Cirsium spp.,CIRSI,F,NA,NA,Adventive,NA
Cirsium texanum,Cirsium texanum,CITE2,,Biennial,N,Adventive,"White, Pink, Purple"
Claytonia virginica,Claytonia virginica,CLVI3,F,Perennial,N,Adventive,"White, Pink"
Cnidoscolus urens var. stimulosus,Cnidoscolus urens var. stimulosus,CNURS,T,Perennial,N,Adventive,White
Coreopsis basalis,Coreopsis basalis,COBA2,T,Annual,N,Adventive,Yellow
Cocculus carolinus,Cocculus carolinus,COCA,F,Perennial,N,Adventive,Green
Conyza canadensis,Conyza canadensis,COCA5,F,Annual,N,Adventive,"White, Yellow, Purple"
Corydalis curvisiliqua,Corydalis curvisiliqua,COCU2,F,Annual,N,Seeded,Yellow
Zephyranthes chlorosolen,Cooperia drummondii,CODR2,F,Perennial,N,Adventive,White
Convolvulus equitans,Convolvulus equitans,COEQ,F,Annual,N,Adventive,"White, Purple"
Commelina erecta,Commelina erecta,COER,F,Perennial,N,Adventive,Blue
Zephyranthes drummondii,Cooperia pedunculata,COPE,,Perennial,N,Adventive,White
Coreopsis spp.,Coreopsis spp.,COREO2,,NA,NA,Adventive,NA
Coreopsis tinctoria,Coreopsis tinctoria,COTI3,F,Annual,N,Seeded,"Red, Yellow, Brown"
Croton capitatus,Croton capitatus,CRCA6,F,Annual,N,Adventive,White
Croton lindheimeri,Croton capitatus var. lindheimeri,CRCAL2,F,Annual,N,Adventive,White
Croton glandulosus,Croton glandulosus,CRGL2,F,Annual ,N,Adventive,White
Croptilon hookerianum,Croptilon hookerianum,CRHO7,F,Annual,N,Adventive,Yellow
Croton lindheimerianus,Croton lindheimerianus,CRLI2,F,Annual,N,Adventive,White
Croton monanthogynus,Croton monanthogynus,CRMO6,F,Annual,N,Adventive,White
Croton texensis,Croton texensis,CRTE4,F,Annual,N,Adventive,White
Cucurbita foetidissima,Cucurbita foetidissima,CUFO,F,Perennial,N,Adventive,Yellow
Cuscuta spp.,Cuscuta spp.,CUSCU,F,NA,NA,Adventive,NA
Dalea aurea,Dalea aurea,DAAU,F,Perennial,N,Adventive,Yellow
Dalea candida,Dalea candida,DACA7,F,Perennial,N,Adventive,White
Dalea compacta,Dalea compacta,DACO2,F,Perennial,N,Adventive,"White, Purple"
Daucosma laciniata,Daucosma laciniata,DALA5,F,Annual,N,Adventive,White
Dalea multiflora,Dalea multiflora,DAMU,F,Perennial,N,Adventive,White
Dalea purpurea,Dalea purpurea,DAPU5,F,Perennial,N,Adventive,Purple
Desmanthus illinoensis,Desmanthus illinoensis,DEIL,F,Perennial ,N,Seeded,White
Desmodium paniculatum,Desmodium paniculatum,DEPA6,F,Perennial,N,Adventive,"Pink, Purple"
Descurainia pinnata,Descurainia pinnata,DEPI,F,Annual,N,Adventive,Yellow
Desmodium sessilifolium,Desmodium sessilifolium,DESE,F,Perennial,N,Adventive,"Pink, Purple"
Ditaxis humilis,Argythamnia humilis var. humilis,ARHUH,F,Perennial,N,Adventive,"White, Green"
Diodella teres,Diodia teres,DITE2,F,Annual,N,Adventive,"White, Purple"
Rudbeckia amplexicaulis,Dracopis amplexicaulis,DRAM,F,Annual,N,Adventive,Yellow
Dracopis amplexicaulis,Dracopis amplexicaulis,DRAM,,Annual,N,Adventive,Yellow
Draba cuneifolia,Draba cuneifolia,DRCU,F,Annual,N,Adventive,White
Eclipta prostrata,Eclipta prostrata,ECPR,F,"Annual, Perennial",N,Adventive,White
Engelmannia peristenia,Engelmannia peristenia,ENPE4,F,Perennial,N,Seeded,Yellow
Eriogonum annuum,Eriogonum annuum,ERAN4,F,Annual,N,Adventive,"White, Pink"
Erodium cicutarium,Erodium cicutarium,ERCI6,F,Annual,I,Adventive,Pink
Erigeron spp.,Erigeron spp.,ERIGE2,,NA,NA,Adventive,NA
Eryngium leavenworthii,Eryngium leavenworthii,ERLE11,F,Annual,N,Adventive,"Blue, Purple"
