ITIS_name,USDA_name,USDA_code,not_in_data
Palafoxia callosa,Palafoxia callosa,PACA3,F
Passiflora incarnata,Passiflora incarnata,PAIN6,F
Packera tampicana,Packera tampicana,PATA5,F
Pediomelum linearifolium,Pediomelum linearifolium,PELI10,F
Persicaria spp.,Polygonum spp.,persi,F
Phytolacca americana,Phytolacca americana,PHAM4,F
Physaria gracilis,Physaria gracilis,PHGR6,F
Phyla nodiflora,Phyla nodiflora,PHNO2,F
Phyllanthus polygonoides,Phyllanthus polygonoides,PHPO3,F
Phyla spp.,Phyla spp.,PHYLA,
Physalis spp.,Physalis spp.,PHYSA,F
Polygala incarnata,Polygala incarnata,POIN4,F
Polypremum procumbens,Polypremum procumbens,POPR4,F
Polytaenia texana,Polytaenia texana,POTE3,F
Prosopis glandulosa,Prosopis glandulosa,PRGL2,F
Pyrrhopappus pauciflorus,Pyrrhopappus pauciflorus,PYPA4,F
Quincula lobata,Quincula lobata,QULO2,F
Ratibida columnifera,Ratibida columnifera,RACO3,F
Ranunculus sceleratus,Ranunculus sceleratus,RASC3,F
Rosa foliolosa,Rosa foliolosa,ROFO,F
Rubus flagellaris,Rubus flagellaris,RUFL,F
Rudbeckia hirta,Rudbeckia hirta,RUHI2,F
Ruellia humilis,Ruellia humilis,RUHU,F
Rumex spp.,Rumex spp.,RUMEX,
Rubus trivialis,Rubus trivialis,RUTR,F
Sabatia campestris,Sabatia campestris,SACA3,F
Scutellaria drummondii,Scutellaria drummondii,SCDR2,F
Senna roemeriana,Senna roemeriana,SERO8,F
Sherardia arvensis,Sherardia arvensis,SHAR2,F
Sida abutifolia,Sida abutifolia,SIAB,F
Silphium laciniatum,Silphium laciniatum,SILA3,F
Sisyrinchium spp.,Sisyrinchium spp.,SISYR,F
Smilax rotundifolia,Smilax rotundifolia,SMRO,F
Sonchus asper,Sonchus asper,SOAS,F
Solanum carolinense,Solanum carolinense,SOCA3,F
Solanum dimidiatum,Solanum dimidiatum,SODI,F
Solanum elaeagnifolium,Solanum elaeagnifolium,SOEL,F
Solidago spp.,Solidago spp.,SOLID,F
Solanum ptychanthum,Solanum ptycanthum,SOPT7,F
Solidago rigida,Solidago rigida,SORI2,F
Solanum rostratum,Solanum rostratum,SORO,F
Spermolepis echinata,Spermolepis echinata,SPEC2,F
Sphaeralcea hastulata,Sphaeralcea hastulata,SPHA,F
Spermolepis inermis,Spermolepis inermis,SPIN,F
Stylosanthes biflora,Stylosanthes biflora,STBI2,F
Stachys crenata,Stachys crenata,STCR7,F
Strophostyles leiosperma,Strophostyles leiosperma,STLE6,F
Stenaria nigricans var. nigricans,Stenaria nigricans var. nigricans,STNIN,F
Symphyotrichum subulatum var. ligulatum,Symphyotrichum divaricatum,SYDI2,F
Symphyotrichum ericoides var. ericoides,Symphyotrichum ericoides var. ericoides,SYERE,F
Symphyotrichum spp.,Symphyotrichum spp.,SYMPH4,
Symphyotrichum subulatum,Symphyotrichum subulatum,SYSU5,F
Teucrium canadense,Teucrium canadense,TECA3,F
Teucrium laciniatum,Teucrium laciniatum,TELA,F
Tetraneuris linearifolia,Tetraneuris linearifolia,TELI3,F
Tetraneuris scaposa,Tetraneuris scaposa,TESC2,F
Thelesperma filifolium,Thelesperma filifolium,THFI,F
Thelesperma simplicifolium,Thelesperma simplicifolium,THSI,F
Torilis arvensis,Torilis arvensis,TOAR,
Tradescantia sp.,Tradescantia sp.,TRADE,F
Trifolium campestre,Trifolium campestre,TRCA5,F
Tradescantia occidentalis,Tradescantia occidentalis,TROC,F
Triodanis perfoliata,Triodanis perfoliata,TRPE4,F
Tragia ramosa,Tragia ramosa,TRRA5,F
