Genus_species,Native,Nesting Behavior,Voltinism,Sociality,Foraging Behavior,Tongue Length
Exomalopsis_consobrina,NA,Ground,NA,Communal,NA,Long
Anthophorula_cornigera,NA,Ground,NA,Communal,NA,Long
Exomalopsis_cornigera,NA,Ground,NA,Communal,NA,Long
Anthophorula_crenulata,NA,Ground,NA,Communal,NA,Long
Exomalopsis_crenulata,NA,Ground,NA,Communal,NA,Long
Anthophorula_deserticola,NA,Ground,NA,Communal,NA,Long
Exomalopsis_deserticola,NA,Ground,NA,Communal,NA,Long
Anthophorula_eriogoni,NA,Ground,NA,Communal,NA,Long
Exomalopsis_erigoni,NA,Ground,NA,Communal,NA,Long
Anthophorula_euphorbiae,NA,Ground,NA,Communal,NA,Long
Exomalopsis_euphorbiae,NA,Ground,NA,Communal,NA,Long
Exomalopsis_fuscicornis,NA,Ground,NA,Communal,NA,Long
Anthophorula_fuscicornis,NA,Ground,NA,Communal,NA,Long
Anthophorula_gutierreziae,NA,Ground,NA,Communal,NA,Long
Exomalopsis_gutierreziae,NA,Ground,NA,Communal,NA,Long
Exomalopsis_halli,NA,Ground,NA,Communal,NA,Long
Anthophorula_halli,NA,Ground,NA,Communal,NA,Long
Anthophorula_ignota,NA,Ground,NA,Communal,NA,Long
Exomalopsis_ignota,NA,Ground,NA,Communal,NA,Long
Anthophorula_imparilis,NA,Ground,NA,Communal,NA,Long
Exomalopsis_imparilis,NA,Ground,NA,Communal,NA,Long
Anthophorula_interrupta,NA,Ground,NA,Communal,NA,Long
Exomalopsis_interrupta,NA,Ground,NA,Communal,NA,Long
Exomalopsis_minima,NA,Ground,NA,Communal,NA,Long
Anthophorula_minima,NA,Ground,NA,Communal,NA,Long
Anthophorula_morgani,NA,Ground,NA,Communal,NA,Long
Anthophorula_morula,NA,Ground,NA,Communal,NA,Long
Exomalopsis_morula,NA,Ground,NA,Communal,NA,Long
Anthophorula_nevadensis,NA,Ground,NA,Communal,NA,Long
Exomalopsis_nevadensis,NA,Ground,NA,Communal,NA,Long
Anthophorula_nitens,NA,Ground,NA,Communal,NA,Long
Exomalopsis_nitens,NA,Ground,NA,Communal,NA,Long
Anthophorula_palmarum,NA,Ground,NA,Communal,NA,Long
Exomalopsis_palmarum,NA,Ground,NA,Communal,NA,Long
Anthophorula_parva,NA,Ground,NA,Communal,NA,Long
Exomalopsis_parva,NA,Ground,NA,Communal,NA,Long
Anthophorula_pygmaea,NA,Ground,NA,Communal,NA,Long
Exomalopsis_bruneri,NA,Ground,NA,Communal,NA,Long
Anthophorula_rozeni,NA,Ground,NA,Communal,NA,Long
Exomalopsis_rozeni,NA,Ground,NA,Communal,NA,Long
Anthophorula_rufiventris,NA,Ground,NA,Communal,NA,Long
Exomalopsis_rufiventris,NA,Ground,NA,Communal,NA,Long
Anthophorula_scapalis,NA,Ground,NA,Communal,NA,Long
Exomalopsis_scapalis,NA,Ground,NA,Communal,NA,Long
Anthophorula_sidae,NA,Ground,NA,Communal,NA,Long
Exomalopsis_sidae,NA,Ground,NA,Communal,NA,Long
Anthophorula_texana,NA,Ground,NA,Communal,NA,Long
Exomalopsis_texana,NA,Ground,NA,Communal,NA,Long
Anthophorula_torticornis,NA,Ground,NA,Communal,NA,Long
Exomalopsis_torticornis,NA,Ground,NA,Communal,NA,Long
Anthophorula_tricinctula,NA,Ground,NA,Communal,NA,Long
Exomalopsis_tricinctula,NA,Ground,NA,Communal,NA,Long
Anthophorula_varleyi,NA,Ground,NA,Communal,NA,Long
Exomalopsis_varleyi,NA,Ground,NA,Communal,NA,Long
Exomalopsis_yoloensis,NA,Ground,NA,Communal,NA,Long
Anthophorula_yoloensis,NA,Ground,NA,Communal,NA,Long
Centris_adani,NA,Ground,NA,Solitary,NA,Long
Centris_aethyctera,NA,Ground,NA,Solitary,NA,Long
Centris_analis,NA,Ground,NA,Solitary,NA,Long
Centris _angustifrons,NA,Ground,NA,Solitary,NA,Long
Centris_aterrima,NA,Ground,NA,Solitary,NA,Long
Centris_atripes,NA,Ground,NA,Solitary,NA,Long
Centris_caesalpiniae,NA,Ground,NA,Solitary,NA,Long
Centris_californica,NA,Ground,NA,Solitary,Specialist,Long
Centris_cockerelli,NA,Ground,NA,Solitary,NA,Long
Centris_decolorata,NA,Ground,NA,Solitary,NA,Long
Centris _flavofasciata,NA,Ground,NA,Solitary,NA,Long
Centris_haemorrhoidalis,NA,Ground,NA,Solitary,NA,Long
Centris _lanipes,NA,Cavity,NA,Solitary,NA,Long
Centris_simillima,NA,Cavity,NA,Solitary,NA,Long
Centris_nigrocaerulea,NA,Ground,NA,Solitary,NA,Long
Centris_rhodomelas,NA,Ground,NA,Solitary,NA,Long
Centris_rhodopus,NA,Ground,NA,Solitary,NA,Long
Centris_tiburonensis,NA,Ground,NA,Solitary,NA,Long
Centris _transversa,NA,Multiple,NA,Solitary,NA,Long
Centris_versicolor,NA,Ground,NA,Solitary,NA,Long
Centris_zacateca,NA,Ground,NA,Solitary,NA,Long
Diadasia_afflicta,NA,Ground,NA,Solitary,Specialist,Long
Diadasia_afflictula,NA,Ground,NA,Solitary,NA,Long
Diadasia_angusticeps,NA,Ground,NA,Solitary,NA,Long
Diadasia_australis,NA,Ground,NA,Solitary,NA,Long
Diadasia_consociata,NA,Ground,NA,Solitary,NA,Long
Diadasia_diminuta,NA,Ground,NA,Solitary,NA,Long
Diadasia_friesei,NA,Ground,NA,Solitary,NA,Long
Diadasia_laticauda,NA,Ground,NA,Solitary,NA,Long
Diadasia_lutzi,NA,Ground,NA,Solitary,NA,Long
Diadasia_martialis,NA,Ground,NA,Solitary,NA,Long
Diadasia_megamorpha,NA,Ground,NA,Solitary,NA,Long
Diadasia_vestita,NA,Ground,NA,Solitary,NA,Long
Diadasia_nigrifrons,NA,Ground,NA,Solitary,NA,Long
Diadasia_nitidifrons,NA,Ground,NA,Solitary,NA,Long
Diadasia_ochracea,NA,Ground,NA,Solitary,NA,Long
Diadasia_olivacea,NA,Ground,NA,Solitary,NA,Long
Diadasia_opuntiae,NA,Ground,NA,Solitary,NA,Long
Diadasia_palmarum,NA,Ground,NA,Solitary,NA,Long
Diadasia_piercei,NA,Ground,NA,Solitary,NA,Long
Diadasia_sphaeralcearum,NA,Ground,NA,Solitary,NA,Long
Diadasia_tropicalis,NA,Ground,NA,Solitary,NA,Long
Diadasia_nitidicincta,NA,Ground,NA,Solitary,NA,Long
Diadasia_tuberculifrons,NA,Ground,NA,Solitary,NA,Long
Diadasia_vallicola,NA,Ground,NA,Solitary,NA,Long
Eucera_acerba,NA,Ground,NA,Solitary,NA,Long
Eucera_actuosa,NA,Ground,NA,Solitary,NA,Long
Eucera_albescens,NA,Ground,NA,Solitary,NA,Long
Eucera_amoena,NA,Ground,NA,Solitary,NA,Long
Eucera_amsinckiae,NA,Ground,NA,Solitary,NA,Long
Eucera_angustifrons,NA,Ground,NA,Solitary,NA,Long
Eucera_aragalli,NA,Ground,NA,Solitary,NA,Long
Eucera_argyrophila,NA,Ground,NA,Solitary,NA,Long
Eucera_bakeri,NA,Ground,NA,Solitary,NA,Long
Eucera_belfragei,NA,Ground,NA,Solitary,NA,Long
Eucera_birkmanniella,NA,Ground,NA,Solitary,NA,Long
Eucera_californica,NA,Ground,NA,Solitary,NA,Long
Eucera_carinata,NA,Ground,NA,Solitary,NA,Long
Eucera_cercidis,NA,Ground,NA,Solitary,NA,Long
Eucera_chrysobotryae,NA,Ground,NA,Solitary,NA,Long
Eucera_chrysophila,NA,Ground,NA,Solitary,NA,Long
Eucera_delphinii,NA,Ground,NA,Solitary,NA,Long
Eucera_dorsata,NA,Ground,NA,Solitary,NA,Long
Eucera_douglasiana,NA,Ground,NA,Solitary,NA,Long
Eucera_dubitata,NA,Ground,NA,Solitary,NA,Long
Eucera_edwardsii,NA,Ground,NA,Solitary,NA,Long
Eucera_fulvitarsis,NA,Ground,NA,Solitary,NA,Long
Eucera_hurdi,NA,Ground,NA,Solitary,NA,Long
Eucera_lepida,NA,Ground,NA,Solitary,NA,Long
Eucera_lunata,NA,Ground,NA,Solitary,NA,Long
Eucera_lutziana,NA,Ground,NA,Solitary,NA,Long
Eucera_lycii,NA,Ground,NA,Solitary,NA,Long
Eucera_mohavensis,NA,Ground,NA,Solitary,NA,Long
Eucera_monozona,NA,Ground,NA,Solitary,NA,Long
Eucera_pallidihirta,NA,Ground,NA,Solitary,NA,Long
Eucera_phaceliae,NA,Ground,NA,Solitary,NA,Long
Eucera_primiveris,NA,Ground,NA,Solitary,NA,Long
Eucera_quadricincta,NA,Ground,NA,Solitary,NA,Long
Eucera_speciosa,NA,Ground,NA,Solitary,NA,Long
Eucera_stretchii,NA,Ground,NA,Solitary,NA,Long
Eucera_suavis,NA,Ground,NA,Solitary,NA,Long
Eucera_territella,NA,Ground,NA,Solitary,NA,Long
Eucera_texana,NA,Ground,NA,Solitary,NA,Long
Eucera_tricinctella,NA,Ground,NA,Solitary,NA,Long
Eucera_truttae,NA,Ground,NA,Solitary,NA,Long
Eucera_venusta,NA,Ground,NA,Solitary,NA,Long
Eucera_virgata,NA,Ground,NA,Solitary,NA,Long
Eucera_zonata,NA,Ground,NA,Solitary,NA,Long
Exomalopsis_amoena,NA,Ground,NA,Communal,NA,Long
Exomalopsis_bahamica,NA,Ground,NA,Solitary,NA,Long
Exomalopsis_birkmanni,NA,Ground,NA,Communal,NA,Long
Exomalopsis_dimidiata,NA,Ground,NA,Communal,NA,Long
Exomalopsis_fumipennis,NA,Ground,NA,Communal,NA,Long
Exomalopsis_hurdi,NA,Ground,NA,Communal,NA,Long
Exomalopsis_pubescens,NA,Ground,NA,Communal,NA,Long
Exomalopsis_similis,NA,Ground,NA,Communal,NA,Long
Apis_globosa,NA,Ground,NA,Communal,NA,Long
Exomalopsis_snowi,NA,Ground,NA,Communal,NA,Long
Exomalopsis_grandior,NA,Ground,NA,Communal,NA,Long
Exomalopsis_solani,NA,Ground,NA,Communal,Generalist,Long
Exomalopsis_solidaginis,NA,Ground,NA,Communal,Generalist,Long
Exomalopsis_tibialis,NA,Ground,NA,Communal,NA,Long
Gaesischia_exul,NA,Ground,NA,NA,NA,Long
Habropoda_cineraria,NA,Ground,NA,Solitary,NA,Long
Habropoda_citula,NA,Ground,NA,Solitary,NA,Long
Habropoda_cressonii,NA,Ground,NA,Solitary,NA,Long
Habropoda_dammersi,NA,Ground,NA,Solitary,NA,Long
Habropoda_excellens,NA,Ground,NA,Solitary,NA,Long
Habropoda_morrisoni,NA,Ground,NA,Solitary,NA,Long
Habropoda_birkmanni,NA,Ground,NA,Solitary,NA,Long
Habropoda_murihirta,NA,Ground,NA,Solitary,NA,Long
Habropoda_salviae,NA,Ground,NA,Solitary,NA,Long
Habropoda_salviarum,NA,Ground,NA,Solitary,NA,Long
Habropoda_semifulva,NA,Ground,NA,Solitary,NA,Long
Habropoda_vierecki,NA,Ground,NA,Solitary,NA,Long
Martinapis_luteicornis,NA,Ground,NA,Solitary,Generalist,Long
Melecta_bohartorum,NA,Host Nest,NA,Parasitic,NA,Long
Melecta_thoracica,NA,Host Nest,NA,Parasitic,NA,Long
Melissodes_appressa,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_baileyi,NA,Ground,NA,Solitary,NA,Long
Melissodes_bicolorata,NA,Ground,NA,Solitary,NA,Long
Melissodes_bimatris,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_blanda,NA,Ground,NA,Solitary,NA,Long
Melissodes_brevipyga,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_cerussata,NA,Ground,NA,Solitary,NA,Long
Melissodes_clarkiae,NA,Ground,NA,Solitary,NA,Long
Melissodes_colliciata,NA,Ground,NA,Solitary,NA,Long
Melissodes_comata,NA,Ground,NA,Solitary,NA,Long
Melissodes_confusa,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_dagosa,NA,Ground,NA,Solitary,NA,Long
Melissodes_elegans,NA,Ground,NA,Solitary,NA,Long
Melissodes_exilis,NA,Ground,NA,Solitary,NA,Long
Melissodes_expolita,NA,Ground,NA,Solitary,NA,Long
Melissodes_fasciatella,NA,Ground,NA,Solitary,NA,Long
Melissodes_gelida,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_gilensis,NA,Ground,NA,Solitary,NA,Long
Melissodes_glenwoodensis,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_grindeliae,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_humilior,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_hurdi,NA,Ground,NA,Solitary,NA,Long
Melissodes_hymenoxidis,NA,Ground,NA,Solitary,NA,Long
Melissodes_limbus,NA,Ground,NA,Solitary,NA,Long
Melissodes_lutulenta,NA,Ground,NA,Solitary,NA,Long
Melissodes_maesta,NA,Ground,NA,Solitary,NA,Long
Melissodes_melanura,NA,Ground,NA,Solitary,NA,Long
Melissodes_micheneri,NA,Ground,NA,Solitary,NA,Long
Melissodes_microsticta,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_monoensis,NA,Ground,NA,Solitary,NA,Long
Melissodes_montana,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_moorei,NA,Ground,NA,Solitary,NA,Long
Melissodes_nigracauda,NA,Ground,NA,Solitary,NA,Long
Melissodes_ochraea,NA,Ground,NA,Solitary,NA,Long
Melissodes_opuntiella,NA,Ground,NA,Solitary,Generalist,Long
Melissodes_pallidisignata,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_paroselae,NA,Ground,NA,Solitary,Generalist,Long
Melissodes_paucipuncta,NA,Ground,NA,Solitary,NA,Long
Melissodes_paulula,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_perlusa,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_perpolita,NA,Ground,NA,Solitary,NA,Long
Melissodes_persimilis,NA,Ground,NA,Solitary,NA,Long
Melissodes_personatella,NA,Ground,NA,Solitary,NA,Long
Melissodes_pexa,NA,Ground,NA,Solitary,NA,Long
Melissodes_pullata,NA,Ground,NA,Solitary,NA,Long
Melissodes_pullatella,NA,Ground,NA,Solitary,NA,Long
Melissodes_relucens,NA,Ground,NA,Solitary,NA,Long
Melissodes_rufipes,NA,Ground,NA,Solitary,NA,Long
Melissodes_saponellus,NA,Ground,NA,Solitary,NA,Long
Melissodes_semilupina,NA,Ground,NA,Solitary,NA,Long
Melissodes_snowii,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_sonorensis,NA,Ground,NA,Solitary,Generalist,Long
Melissodes_sphaeralceae,NA,Ground,NA,Solitary,NA,Long
Melissodes_subagilis,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_submenuacha,NA,Ground,NA,Solitary,Specialist,Long
Melissodes_tepida,NA,Ground,NA,Solitary,NA,Long
Melissodes_tessellata,NA,Ground,NA,Solitary,NA,Long
Melissodes_thelypodii,NA,Ground,NA,Solitary,Generalist,Long
Melissodes_trifasciata,NA,Ground,NA,Solitary,NA,Long
Melissodes_tuckeri,NA,Ground,NA,Solitary,NA,Long
Melissodes_utahensis,NA,Ground,NA,Solitary,NA,Long
Melissodes_velutina,NA,Ground,NA,Solitary,NA,Long
Melissodes_verbesinarum,NA,Ground,NA,Solitary,NA,Long
Melissodes_vernalis,NA,Ground,NA,Solitary,NA,Long
Melissodes_wheeleri,NA,Ground,NA,Solitary,Specialist,Long
Melissoptila_otomita,NA,NA,NA,NA,NA,Long
Melitoma_grisella,NA,Ground,NA,NA,Specialist,Long
Melitoma_segmentaria,NA,Ground,NA,NA,Specialist,Long
Melitoma_monozonula,NA,Ground,NA,NA,Specialist,Long
Mesoplia_dugesi,NA,Host Nest,NA,Parasitic,NA,Long
Mesoplia_regalis,NA,Host Nest,NA,Parasitic,NA,Long
Peponapis_crassidentata,NA,Ground ,NA,Solitary,NA,Long
Peponapis_limitaris,NA,Ground ,NA,Solitary,NA,Long
Peponapis_michelbacherorum,NA,Ground ,NA,Solitary,Specialist,Long
Peponapis_timberlakei,NA,Ground ,NA,Solitary,Specialist,Long
Peponapis_utahensis,NA,Ground ,NA,Solitary,NA,Long
Ptilothrix_sumichrasti,NA,Ground ,NA,Solitary,Specialist,Long
Svastra_comanche,NA,Ground,NA,Solitary,NA,Long
Svastra_grandissima,NA,Ground,NA,Solitary,NA,Long
Svastra_helianthelli,NA,Ground,NA,Solitary,Specialist,Long
Svastra_machaerantherae,NA,Ground,NA,Solitary,Specialist,Long
Svastra_nevadensis,NA,Ground,NA,Solitary,NA,Long
Svastra_pallidior,NA,Ground,NA,Solitary,NA,Long
Svastra_sabinensis,NA,Ground,NA,Solitary,NA,Long
Svastra_sila,NA,Ground,NA,Solitary,NA,Long
Svastra_texana,NA,Ground,NA,Solitary,Specialist,Long
Syntrichalonia_exquisita,NA,NA,NA,NA,Specialist,Long
Tetraloniella_albata,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_arizonica,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_balluca,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_cacuminis,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_crenulaticornis,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_cressoniana,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_davidsoni,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_distata,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_donata,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_eriocarpi,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_fasciatella,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_flagellicornis,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_fulvotecta,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_helianthorum,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_imitatrix,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_incana,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_jaliscoensis,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_lippiae,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_michoacanensis,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_ochraea,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_paenalbata,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_pennata,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_perconcinna,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_pomonae,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_sphaeralceae,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_spissa,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_vandykei,NA,Ground,NA,Solitary,NA,Long
Tetraloniella_wilmattae,NA,Ground,NA,Solitary,NA,Long
Xenoglossa_gabbii,NA,Multiple,NA,Solitary,NA,Long
Xeromelecta_tibialis,NA,Host Nest,NA,Parasitic,NA,Long
Anthidiellum_azteca,NA,Multiple,NA,Solitary,Generalist,Long
Anthidiellum_toltecum,NA,Multiple,NA,Solitary,NA,Long
Anthidium_banningense,NA,Multiple,NA,Solitary,NA,Long
Anthidium_cochimi,NA,Multiple,NA,Solitary,NA,Long
Anthidium_montivagum,NA,Multiple,NA,Solitary,NA,Long
Anthidium_palmarum,NA,Multiple,NA,Solitary,NA,Long
Anthidium_placitum,NA,Multiple,NA,Solitary,NA,Long
Anthidium_porterae,NA,Multiple,NA,Solitary,NA,Long
Anthidium_rodecki,NA,Multiple,NA,Solitary,NA,Long
Dianthidium_concinnum,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_cressonii,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_desertorum,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_dubium,NA,Cavity,NA,Solitary,Generalist,Long
Dianthidium_heterulkei,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_macrurum,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_parkeri,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_subrufulum,NA,Cavity,NA,Solitary,NA,Long
Dianthidium_texanum,NA,Cavity,NA,Solitary,NA,Long
Dioxys_aurifusca,NA,Host Nest,NA,Parasitic,NA,Long
Dioxys_pomonae,NA,Host Nest,NA,Parasitic,NA,Long
Dioxys_producta,NA,Host Nest,NA,Parasitic,NA,Long
Dioxys_rohweri,NA,Host Nest,NA,Parasitic,NA,Long
Hoplostelis_bivittata,NA,NA,NA,NA,NA,Long
Paranthidium_gabbii,NA,Multiple,NA,Solitary,Generalist,Long
Stelis_chlorocyanea,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_crassiceps,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_cusackae,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_fragariella,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_fremonti,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_grossa,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_idahoensis,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_leucotricha,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_melanotricha,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_nitidula,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_nyssonoides,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_pulchra,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_seneciophila,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_sexmaculata,NA,Host Nest,NA,Parasitic,NA,Long
Stelis_subglauca,NA,Host Nest,NA,Parasitic,NA,Long
Trachusa_autumnalis,NA,Multiple,NA,Solitary,NA,Long
Trachusa_cordaticeps,NA,Multiple,NA,Solitary,NA,Long
Trachusa_gummifera,NA,Multiple,NA,Solitary,NA,Long
Trachusa_interdisciplinaris,NA,Multiple,NA,Solitary,NA,Long
Trachusa_manni,NA,Multiple,NA,Solitary,NA,Long
Trachusa_occidentalis,NA,Multiple,NA,Solitary,NA,Long
Bombus_huntii,NA,Cavity,Multivoltine,Primitively Eusocial,Generalist,Medium
Bombus_intrudens,NA,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_medius,NA,NA,NA,NA,Generalist,NA
Bombus_neoboreus,NA,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_pleuralis,NA,NA,NA,NA,Generalist,NA
Bombus_weisi,NA,Host Nest,NA,Parasitic,Generalist,Long
Bombus_braccatus,NA,NA,NA,NA,Generalist,NA
Bombus_excellens,NA,NA,NA,NA,Generalist,NA
Bombus_ferganicus,NA,NA,NA,NA,Generalist,NA
Bombus_hypocrita,NA,NA,NA,NA,Generalist,NA
Bombus_irisanensis,NA,NA,NA,NA,Generalist,NA
Bombus_modestus,NA,Cavity,Multivoltine,Primitively Eusocial,Generalist,NA
Bombus_nobilis,NA,NA,NA,NA,Generalist,NA
Bombus_novus,NA,NA,NA,NA,Generalist,NA
Bombus_rotundiceps,NA,NA,NA,NA,Generalist,NA
Ashmeadiella_altadenae,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_aridula,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_australis,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_barberi,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_biscopula,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_breviceps,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_cactorum,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_cazieri,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_chumashae,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_clypeodentata,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_cockerelli,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_difugita,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_digiticauda,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_dimalla,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_erema,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_eurynorhyncha,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_foveata,NA,Multiple,NA,Solitary,Generalist,Long
Ashmeadiella_foxiella,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_gillettei,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_hurdiana,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_lateralis,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_leachi,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_leucozona,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_lutzi,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_maxima,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_meliloti,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_micheneri,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_neomexicana,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_occipitalis,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_opuntiae,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_parkinsoniae,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_rufipes,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_rufitarsis,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_salviae,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_sonora,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_stenognatha,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_stevensi,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_titusi,NA,Multiple,NA,Solitary,NA,Long
Ashmeadiella_vandykiella,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_abjecta,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_anthodyta,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_arizonensis,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_beameri,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_copelandica,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_daleae,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_elongata,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_enceliae,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_hebitis,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_hemizoniae,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_hypostomalis,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_maryae,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_mirifica,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_namatophila,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_nitidivitta,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_oregona,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_panamintensis,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_phaceliarum,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_pycnognatha,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_robustula,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_rupestris,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_segregata,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_timberlakei,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_triodonta,NA,Multiple,NA,Solitary,NA,Long
Atoposmia_viguierae,NA,Multiple,NA,Solitary,NA,Long
Chelostoma_bernardinum,NA,Wood,NA,Solitary,Specialist,Long
Chelostoma_cockerelli,NA,Wood,NA,Solitary,Specialist,Long
Chelostoma_incisulum,NA,Wood,NA,Solitary,Specialist,Long
Chelostoma_marginatum,NA,Wood,NA,Solitary,Specialist,Long
Chelostoma_minutum,NA,Wood,NA,Solitary,Generalist,Long
