site,plot,year,season,use,plot_notes
Lewisville,Westlake,2021,fall,F,dropped out of project
Stillhouse,50 Acres,2021,fall,F,"whole plot was baled and mowed, not sampled"
Stillhouse,Dana Peak,2021,fall,T,
Stillhouse,WMA5,2021,fall,T,
Waco,Area 111,2021,fall,T,
Waco,Area 12,2021,fall,T,
Waco,Area 48,2021,fall,T,covered in johnson grass. Remove?
Waco,Area 52,2021,fall,T,covered in johnson grass. Remove?
Wagley,Airstrip,2021,fall,T,
Wagley,Food,2021,fall,T,
Wagley,House,2021,fall,T,
Wagley,Watertrap,2021,fall,T,
Whitney,50 Acres,2021,fall,T,
Whitney,Flood,2021,fall,T,
Whitney,Main,2021,fall,T,
Whitney,Woods,2021,fall,T,
Clay,Brushy,2021,spring,T,
Clay,Deer,2021,spring,F,whole plot mowed
Clay,Gate,2021,spring,T,
Clay,Middle,2021,spring,T,
Cross Timbers,50 Acres,2021,spring,T,
Cross Timbers,East,2021,spring,T,
Cross Timbers,Highway,2021,spring,T,
Cross Timbers,Middle,2021,spring,T,
Crow,Cactus,2021,spring,T,
Crow,Cattle,2021,spring,T,
Crow,Gas,2021,spring,T,
Crow,Hill,2021,spring,T,
Davis,Cedarsnew,2021,spring,F,dropped out of project
Davis,Middlenew,2021,spring,F,dropped out of project
Davis,Townnew,2021,spring,F,dropped out of project
Hagerman,Bennett Hill,2021,spring,T,
Hagerman,Crow Hill,2021,spring,T,
Hagerman,Meadow Pond,2021,spring,T,
Hagerman,Upper,2021,spring,T,
Lewisville,Airfield,2021,spring,T,
Lewisville,Dam,2021,spring,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2021,spring,T,
Lewisville,Westlake,2021,spring,T,
Stillhouse,50 Acres,2021,spring,T,
Stillhouse,Dana Peak,2021,spring,T,
Stillhouse,WMA5,2021,spring,T,
Waco,Area 111,2021,spring,T,
Waco,Area 12,2021,spring,T,
Waco,Area 48,2021,spring,T,covered in johnson grass. Remove?
Waco,Area 52,2021,spring,T,covered in johnson grass. Remove?
Wagley,Airstrip,2021,spring,T,
Wagley,Food,2021,spring,T,
Wagley,Watertrap,2021,spring,T,
Wagley,House,2021,spring,F,"part of plot cleared, and horses added."
Whitney,50 Acres,2021,spring,T,
Whitney,Flood,2021,spring,T,
Whitney,Main,2021,spring,T,
Whitney,Woods,2021,spring,T,
Clay,Brushy,2021,summer,T,
Clay,Deer,2021,summer,T,
Clay,Gate,2021,summer,T,
Clay,Middle,2021,summer,T,
Cross Timbers,50 Acres,2021,summer,T,
Cross Timbers,East,2021,summer,T,
Cross Timbers,Highway,2021,summer,T,
Cross Timbers,Middle,2021,summer,T,
Crow,Cactus,2021,summer,T,
Crow,Cattle,2021,summer,T,
Crow,Gas,2021,summer,T,
Crow,Hill,2021,summer,T,
Davis,Cedarsnew,2021,summer,F,dropped out of project
Davis,Middlenew,2021,summer,F,dropped out of project
Davis,Townnew,2021,summer,F,dropped out of project
Hagerman,Bennett Hill,2021,summer,T,
Hagerman,Crow Hill,2021,summer,T,
Hagerman,Meadow Pond,2021,summer,T,
Hagerman,Upper,2021,summer,T,
Lewisville,Airfield,2021,summer,T,
Lewisville,Dam,2021,summer,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2021,summer,T,
Lewisville,Westlake,2021,summer,T,
Stillhouse,50 Acres,2021,summer,T,
Stillhouse,Dana Peak,2021,summer,T,
Stillhouse,WMA5,2021,summer,T,
Waco,Area 111,2021,summer,T,
Waco,Area 12,2021,summer,T,
Waco,Area 48,2021,summer,T,covered in johnson grass. Remove?
Waco,Area 52,2021,summer,T,covered in johnson grass. Remove?
Wagley,Airstrip,2021,summer,T,
Wagley,Food,2021,summer,T,
Wagley,House,2021,summer,T,
Wagley,Watertrap,2021,summer,T,
Whitney,50 Acres,2021,summer,T,
Whitney,Flood,2021,summer,T,
Whitney,Main,2021,summer,T,
Whitney,Woods,2021,summer,T,
Clay,Brushy,2022,fall,T,
Clay,Deer,2022,fall,T,
Clay,Gate,2022,fall,T,
Clay,Middle,2022,fall,T,
Cross Timbers,50 Acres,2022,fall,T,
Cross Timbers,East,2022,fall,T,
Cross Timbers,Highway,2022,fall,T,
Cross Timbers,Middle,2022,fall,T,
Crow,Cactus,2022,fall,T,
Crow,Cattle,2022,fall,T,
Crow,Gas,2022,fall,T,
Crow,Hill,2022,fall,T,
Crow,Hill,2022,fall,T,
Davis,Cedarsnew,2022,fall,F,dropped out of project
Davis,Middlenew,2022,fall,F,dropped out of project
Davis,Townnew,2022,fall,F,dropped out of project
Hagerman,Bennett Hill,2022,fall,T,
Hagerman,Crow Hill,2022,fall,T,
Hagerman,Meadow Pond,2022,fall,T,
Hagerman,Upper,2022,fall,T,
Lewisville,Airfield,2022,fall,F,dropped out of project
Lewisville,Dam,2022,fall,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2022,fall,F,dropped out of project
Lewisville,Westlake,2022,fall,F,dropped out of project
Stillhouse,50 Acres,2022,fall,F,
Stillhouse,Dana Peak,2022,fall,T,
Stillhouse,WMA5,2022,fall,F,road dug in plot and signs of baling
Waco,Area 111,2022,fall,T,
Waco,Area 12,2022,fall,T,
Waco,Area 48,2022,fall,T,covered in johnson grass. Remove?
Waco,Area 52,2022,fall,T,covered in johnson grass. Remove?
Wagley,Airstrip,2022,fall,T,
Wagley,Food,2022,fall,T,
Wagley,House,2022,fall,T,
Wagley,Watertrap,2022,fall,T,
Whitney,50 Acres,2022,fall,T,
Whitney,Flood,2022,fall,T,
Whitney,Main,2022,fall,T,
Whitney,Woods,2022,fall,T,
Clay,Brushy,2022,spring,T,
Clay,Deer,2022,spring,T,
Clay,Gate,2022,spring,T,
Clay,Middle,2022,spring,T,
Cross Timbers,50 Acres,2022,spring,T,
Cross Timbers,East,2022,spring,T,
Cross Timbers,Highway,2022,spring,T,
Cross Timbers,Middle,2022,spring,T,
Crow,Cactus,2022,spring,T,
Crow,Cattle,2022,spring,T,
Crow,Gas,2022,spring,T,
Crow,Hill,2022,spring,T,
Crow,Hill,2022,spring,T,
Davis,Cedarsnew,2022,spring,F,dropped out of project
Davis,Middlenew,2022,spring,F,dropped out of project
Davis,Townnew,2022,spring,F,dropped out of project
Hagerman,Bennett Hill,2022,spring,T,
Hagerman,Crow Hill,2022,spring,T,
Hagerman,Meadow Pond,2022,spring,T,
Hagerman,Upper,2022,spring,T,
Lewisville,Airfield,2022,spring,F,dropped out of project
Lewisville,Dam,2022,spring,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2022,spring,F,dropped out of project
Lewisville,Westlake,2022,spring,F,dropped out of project
Stillhouse,50 Acres,2022,spring,F,
Stillhouse,Dana Peak,2022,spring,T,
Stillhouse,WMA5,2022,spring,T,
Waco,Area 111,2022,spring,T,
Waco,Area 12,2022,spring,T,
Waco,Area 48,2022,spring,T,covered in johnson grass. Remove?
Waco,Area 52,2022,spring,T,covered in johnson grass. Remove?
Wagley,Airstrip,2022,spring,T,
Wagley,Food,2022,spring,T,
Wagley,House,2022,spring,T,
Wagley,Watertrap,2022,spring,T,
Whitney,50 Acres,2022,spring,T,
Whitney,Flood,2022,spring,T,
Whitney,Main,2022,spring,T,
Whitney,Woods,2022,spring,T,
Clay,Brushy,2022,summer,F,recently burned by wildfire
Clay,Deer,2022,summer,T,
Clay,Gate,2022,summer,T,
Clay,Middle,2022,summer,T,
Cross Timbers,50 Acres,2022,summer,T,
Cross Timbers,East,2022,summer,T,
Cross Timbers,Highway,2022,summer,T,
Cross Timbers,Middle,2022,summer,T,
Crow,Cactus,2022,summer,T,
Crow,Cattle,2022,summer,T,
Crow,Gas,2022,summer,T,
Crow,Hill,2022,summer,T,
Crow,Hill,2022,summer,T,
Davis,Cedarsnew,2022,summer,F,dropped out of project
Davis,Middlenew,2022,summer,F,dropped out of project
Davis,Townnew,2022,summer,F,dropped out of project
Hagerman,Bennett Hill,2022,summer,T,
Hagerman,Crow Hill,2022,summer,T,
Hagerman,Meadow Pond,2022,summer,T,
Hagerman,Upper,2022,summer,T,
Lewisville,Airfield,2022,summer,F,dropped out of project
Lewisville,Dam,2022,summer,F,"construction on dam, removed plot from study"
Lewisville,Oakland,2022,summer,F,dropped out of project
Lewisville,Westlake,2022,summer,F,dropped out of project
Stillhouse,50 Acres,2022,summer,F,dropped out of project
Stillhouse,Dana Peak,2022,summer,F,dropped out of project
Stillhouse,WMA5,2022,summer,F,dropped out of project
Waco,Area 111,2022,summer,T,
Waco,Area 12,2022,summer,T,
Waco,Area 48,2022,summer,T,covered in johnson grass. Remove?
Waco,Area 52,2022,summer,T,covered in johnson grass. Remove?
Wagley,Airstrip,2022,summer,T,
Wagley,Food,2022,summer,T,
Wagley,House,2022,summer,T,
Wagley,Watertrap,2022,summer,T,
Whitney,50 Acres,2022,summer,T,
Whitney,Flood,2022,summer,T,
Whitney,Main,2022,summer,T,
Whitney,Woods,2022,summer,T,
,,,,,
,,,,,
2017,38,,,,
2018,38,,,,
2019,38,,,,
2021,34,,,,
2022,28,,,,
